nohup: ignoring input
[SDP] flash=False, mem_efficient=False, math=True (for higher-order gradients)
Training artifacts will be saved to: ../checkpoints/mmgj_transformer_default_2026-03-16_08-58-26

  0%|                                                                                       | 0/5000000 [00:00<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                                         | 0/5000000 [00:02<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                            | 1/5000000 [00:02<3018:28:57,  2.17s/it]
[Work (1/5)] P-Loss: 48.085 | M-Loss: 130.905:   0%|                           | 1/5000000 [00:04<3018:28:57,  2.17s/it]
[Work (1/5)] P-Loss: 51.237 | M-Loss: 136.677:   0%|                          | 38/5000000 [01:05<2366:07:02,  1.70s/it]
[Work (2/5)] P-Loss: 44.224 | M-Loss: 128.968:   0%|                          | 38/5000000 [01:07<2366:07:02,  1.70s/it]
[Work (2/5)] P-Loss: 44.224 | M-Loss: 128.968:   0%|                          | 39/5000000 [01:07<2374:13:03,  1.71s/it]
[Work (3/5)] P-Loss: 50.881 | M-Loss: 135.811:   0%|                          | 39/5000000 [01:09<2374:13:03,  1.71s/it]
[Work (3/5)] P-Loss: 50.881 | M-Loss: 135.811:   0%|                          | 40/5000000 [01:09<2385:05:24,  1.72s/it]
[Work (4/5)] P-Loss: 41.992 | M-Loss: 127.525:   0%|                          | 40/5000000 [01:11<2385:05:24,  1.72s/it]
[Work (4/5)] P-Loss: 41.992 | M-Loss: 127.525:   0%|                          | 41/5000000 [01:11<2399:20:05,  1.73s/it]
[Work (5/5)] P-Loss: 41.673 | M-Loss: 125.537:   0%|                          | 41/5000000 [01:12<2399:20:05,  1.73s/it]
[Work (5/5)] P-Loss: 41.673 | M-Loss: 125.537:   0%|                          | 42/5000000 [01:12<2407:05:17,  1.73s/it]
[LGN (1/1)] P-Loss: 4.408 | M-Unroll: 87.567:   0%|                           | 42/5000000 [01:14<2407:05:17,  1.73s/it]
[LGN (1/1)] P-Loss: 4.408 | M-Unroll: 87.567:   0%|                           | 43/5000000 [01:14<2340:51:23,  1.69s/it]
[Work (1/5)] P-Loss: 40.464 | M-Loss: 126.396:   0%|                          | 43/5000000 [01:16<2340:51:23,  1.69s/it]
[Work (1/5)] P-Loss: 40.464 | M-Loss: 126.396:   0%|                          | 44/5000000 [01:16<2343:06:43,  1.69s/it]
[Work (2/5)] P-Loss: 39.829 | M-Loss: 125.619:   0%|                          | 44/5000000 [01:17<2343:06:43,  1.69s/it]
[Work (2/5)] P-Loss: 39.829 | M-Loss: 125.619:   0%|                          | 45/5000000 [01:17<2382:36:51,  1.72s/it]
[Work (3/5)] P-Loss: 33.848 | M-Loss: 118.042:   0%|                          | 45/5000000 [01:19<2382:36:51,  1.72s/it]
[Work (3/5)] P-Loss: 33.848 | M-Loss: 118.042:   0%|                          | 46/5000000 [01:19<2395:27:23,  1.72s/it]
